MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538008123,2026-09-07 17:30:00,19.533602,71.501664,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 17:35:00,19.526807,71.507259,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 17:40:00,19.520043,71.512774,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 17:45:00,19.513274,71.518503,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 17:50:00,19.506339,71.523928,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 17:55:00,19.49956,71.529641,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:00:00,19.492843,71.535319,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:05:00,19.486024,71.540926,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:10:00,19.479218,71.546531,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:15:00,19.472588,71.55198,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:20:00,19.465633,71.557718,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:25:00,19.458842,71.563388,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:30:00,19.452147,71.568822,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
538008123,2026-09-07 18:35:00,19.445294,71.574456,6.2,142.0,142.0,MT PACIFIC GLORY,IMO9412345,V7PG2,80,0,245,42,14.5,80,A
